Epochs,Batch size,Optimizer,Loss,Kernel,Bias,Accuracy
100,100,RMSprop,binary_crossentropy,random_uniform,None,81.88084959983826
5,5,RMSprop,binary_crossentropy,random_uniform,zeros,99.80305433273315
5,10,RMSprop,binary_crossentropy,random_uniform,zeros,99.43377375602722
5,20,RMSprop,binary_crossentropy,random_uniform,zeros,97.68586754798889
5,50,RMSprop,binary_crossentropy,random_uniform,zeros,97.39044904708862
5,75,RMSprop,binary_crossentropy,random_uniform,zeros,97.51353859901428
5,100,RMSprop,binary_crossentropy,random_uniform,zeros,96.52880430221558
10,5,RMSprop,binary_crossentropy,random_uniform,zeros,81.88084959983826
10,10,RMSprop,binary_crossentropy,random_uniform,zeros,99.87691044807434
10,20,RMSprop,binary_crossentropy,random_uniform,zeros,99.87691044807434
10,50,RMSprop,binary_crossentropy,random_uniform,zeros,99.85228776931763
10,75,RMSprop,binary_crossentropy,random_uniform,zeros,97.538161277771
10,100,RMSprop,binary_crossentropy,random_uniform,zeros,97.538161277771
20,5,RMSprop,binary_crossentropy,random_uniform,zeros,99.7538149356842
20,10,RMSprop,binary_crossentropy,random_uniform,zeros,99.82767105102539
20,20,RMSprop,binary_crossentropy,random_uniform,zeros,97.56277799606323
20,50,RMSprop,binary_crossentropy,random_uniform,zeros,81.88084959983826
20,75,RMSprop,binary_crossentropy,random_uniform,zeros,99.85228776931763
20,100,RMSprop,binary_crossentropy,random_uniform,zeros,97.56277799606323
50,5,RMSprop,binary_crossentropy,random_uniform,zeros,99.87691044807434
50,10,RMSprop,binary_crossentropy,random_uniform,zeros,81.88084959983826
50,20,RMSprop,binary_crossentropy,random_uniform,zeros,99.82767105102539
50,50,RMSprop,binary_crossentropy,random_uniform,zeros,99.90152716636658
50,75,RMSprop,binary_crossentropy,random_uniform,zeros,99.92614388465881
50,100,RMSprop,binary_crossentropy,random_uniform,zeros,99.92614388465881
75,5,RMSprop,binary_crossentropy,random_uniform,zeros,99.87691044807434
75,10,RMSprop,binary_crossentropy,random_uniform,zeros,81.88084959983826
75,20,RMSprop,binary_crossentropy,random_uniform,zeros,99.90152716636658
75,50,RMSprop,binary_crossentropy,random_uniform,zeros,97.63663411140442
75,75,RMSprop,binary_crossentropy,random_uniform,zeros,99.92614388465881
75,100,RMSprop,binary_crossentropy,random_uniform,zeros,99.85228776931763
100,5,RMSprop,binary_crossentropy,random_uniform,zeros,99.97538328170776
100,10,RMSprop,binary_crossentropy,random_uniform,zeros,99.87691044807434
100,20,RMSprop,binary_crossentropy,random_uniform,zeros,99.97538328170776
100,50,RMSprop,binary_crossentropy,random_uniform,zeros,99.92614388465881
100,75,RMSprop,binary_crossentropy,random_uniform,zeros,99.82767105102539
100,100,RMSprop,binary_crossentropy,random_uniform,zeros,97.63663411140442
5,5,adam,MeanSquaredError,None,None,99.87691044807434
5,10,adam,MeanSquaredError,None,None,99.90152716636658
5,20,adam,MeanSquaredError,None,None,99.87691044807434
5,50,adam,MeanSquaredError,None,None,99.87691044807434
5,75,adam,MeanSquaredError,None,None,81.88084959983826
5,100,adam,MeanSquaredError,None,None,97.538161277771
10,5,adam,MeanSquaredError,None,None,97.538161277771
10,10,adam,MeanSquaredError,None,None,99.90152716636658
10,20,adam,MeanSquaredError,None,None,99.90152716636658
10,50,adam,MeanSquaredError,None,None,18.119153380393982
10,75,adam,MeanSquaredError,None,None,99.90152716636658
10,100,adam,MeanSquaredError,None,None,99.90152716636658
20,5,adam,MeanSquaredError,None,None,99.87691044807434
20,10,adam,MeanSquaredError,None,None,97.6120114326477
20,20,adam,MeanSquaredError,None,None,99.90152716636658
20,50,adam,MeanSquaredError,None,None,99.92614388465881
20,75,adam,MeanSquaredError,None,None,99.90152716636658
20,100,adam,MeanSquaredError,None,None,99.90152716636658
50,5,adam,MeanSquaredError,None,None,99.90152716636658
50,10,adam,MeanSquaredError,None,None,99.95076060295105
50,20,adam,MeanSquaredError,None,None,81.88084959983826
50,50,adam,MeanSquaredError,None,None,99.90152716636658
50,75,adam,MeanSquaredError,None,None,99.90152716636658
50,100,adam,MeanSquaredError,None,None,99.90152716636658
75,5,adam,MeanSquaredError,None,None,97.538161277771
75,10,adam,MeanSquaredError,None,None,99.97538328170776
75,20,adam,MeanSquaredError,None,None,100.0
75,50,adam,MeanSquaredError,None,None,99.97538328170776
75,75,adam,MeanSquaredError,None,None,99.90152716636658
75,100,adam,MeanSquaredError,None,None,97.538161277771
100,5,adam,MeanSquaredError,None,None,81.88084959983826
100,10,adam,MeanSquaredError,None,None,97.538161277771
100,20,adam,MeanSquaredError,None,None,99.95076060295105
100,50,adam,MeanSquaredError,None,None,99.97538328170776
100,75,adam,MeanSquaredError,None,None,99.90152716636658
100,100,adam,MeanSquaredError,None,None,99.87691044807434
5,5,adam,MeanSquaredError,None,zeros,99.90152716636658
5,10,adam,MeanSquaredError,None,zeros,99.87691044807434
5,20,adam,MeanSquaredError,None,zeros,99.87691044807434
5,50,adam,MeanSquaredError,None,zeros,99.82767105102539
5,75,adam,MeanSquaredError,None,zeros,99.87691044807434
5,100,adam,MeanSquaredError,None,zeros,98.03052544593811
10,5,adam,MeanSquaredError,None,zeros,97.538161277771
10,10,adam,MeanSquaredError,None,zeros,99.87691044807434
10,20,adam,MeanSquaredError,None,zeros,99.90152716636658
10,50,adam,MeanSquaredError,None,zeros,81.88084959983826
10,75,adam,MeanSquaredError,None,zeros,99.95076060295105
10,100,adam,MeanSquaredError,None,zeros,99.87691044807434
20,5,adam,MeanSquaredError,None,zeros,99.87691044807434
20,10,adam,MeanSquaredError,None,zeros,99.90152716636658
20,20,adam,MeanSquaredError,None,zeros,99.87691044807434
20,50,adam,MeanSquaredError,None,zeros,99.90152716636658
20,75,adam,MeanSquaredError,None,zeros,99.87691044807434
20,100,adam,MeanSquaredError,None,zeros,97.538161277771
50,5,adam,MeanSquaredError,None,zeros,99.97538328170776
50,10,adam,MeanSquaredError,None,zeros,99.97538328170776
50,20,adam,MeanSquaredError,None,zeros,100.0
